"ClassName"	"Label"	"Class"
"1"	NA	NA	NA
"2"	NA	NA	NA
"3"	"STOM"	"N"	1
"4"	"STOM"	"N"	1
"5"	"STOM"	"N"	1
"6"	"STOM"	"N"	1
"7"	"STOM"	"N"	1
"8"	"STOM"	"N"	1
"9"	"STOM"	"P"	1
"10"	"COLON"	"N"	2
"11"	"COLON"	"N"	2
"12"	"COLON"	"N"	2
"13"	"COLON"	"N"	2
"14"	"COLON"	"N"	2
"15"	"COLON"	"T"	2
"16"	"COLON"	"T"	2
"17"	"COLON"	"T"	2
"18"	"COLON"	"T"	2
"19"	"COLON"	"T"	2
"20"	"COLON"	"T"	2
"21"	"COLON"	"T"	2
"22"	"COLON"	"T"	2
"23"	"COLON"	"T"	2
"24"	"COLON"	"T"	2
"25"	"COLON"	"P"	2
"26"	"PAN"	"N"	3
"27"	"PAN"	"T"	3
"28"	"PAN"	"T"	3
"29"	"PAN"	"T"	3
"30"	"PAN"	"T"	3
"31"	"PAN"	"T"	3
"32"	"PAN"	"T"	3
"33"	"PAN"	"T"	3
"34"	"PAN"	"T"	3
"35"	"PAN"	"T"	3
"36"	NA	NA	NA
"37"	NA	NA	NA
"38"	NA	NA	NA
"39"	NA	NA	NA
"40"	"KID"	"N"	4
"41"	"KID"	"N"	4
"42"	"KID"	"T"	4
"43"	"KID"	"T"	4
"44"	"KID"	"T"	4
"45"	"KID"	"T"	4
"46"	"KID"	"T"	4
"47"	NA	NA	NA
"48"	NA	NA	NA
"49"	NA	NA	NA
"50"	"BLDR"	"N"	5
"51"	"BLDR"	"N"	5
"52"	"BLDR"	"T"	5
"53"	"BLDR"	"T"	5
"54"	"BLDR"	"T"	5
"55"	"BLDR"	"T"	5
"56"	"BLDR"	"T"	5
"57"	"BLDR"	"T"	5
"58"	"BLDR"	"T"	5
"59"	"PROST"	"N"	6
"60"	"PROST"	"N"	6
"61"	"PROST"	"N"	6
"62"	"PROST"	"N"	6
"63"	"PROST"	"N"	6
"64"	"PROST"	"N"	6
"65"	"PROST"	"N"	6
"66"	"PROST"	"N"	6
"67"	"PROST"	"T"	6
"68"	"PROST"	"T"	6
"69"	"PROST"	"T"	6
"70"	"PROST"	"T"	6
"71"	"PROST"	"T"	6
"72"	"PROST"	"T"	6
"73"	NA	NA	NA
"74"	NA	NA	NA
"75"	NA	NA	NA
"76"	NA	NA	NA
"77"	"OVARY"	"T"	7
"78"	"OVARY"	"T"	7
"79"	"OVARY"	"T"	7
"80"	"OVARY"	"T"	7
"81"	"OVARY"	"T"	7
"82"	"OVARY"	"T"	7
"83"	"OVARY"	"T"	7
"84"	"OVARY"	"P"	7
"85"	"OVARY"	"P"	7
"86"	"OVARY"	"P"	7
"87"	"UT"	"N"	8
"88"	"UT"	"N"	8
"89"	"UT"	"N"	8
"90"	"UT"	"N"	8
"91"	"UT"	"N"	8
"92"	"UT"	"N"	8
"93"	"UT"	"N"	8
"94"	"UT"	"N"	8
"95"	"UT"	"N"	8
"96"	"UT"	"T"	8
"97"	"UT"	"T"	8
"98"	"UT"	"T"	8
"99"	"UT"	"T"	8
"100"	"UT"	"T"	8
"101"	"UT"	"T"	8
"102"	"UT"	"T"	8
"103"	"UT"	"T"	8
"104"	"UT"	"T"	8
"105"	"UT"	"T"	8
"106"	"LUNG"	"N"	9
"107"	"LUNG"	"N"	9
"108"	"LUNG"	"N"	9
"109"	"LUNG"	"N"	9
"110"	"LUNG"	"T"	9
"111"	"LUNG"	"T"	9
"112"	"LUNG"	"T"	9
"113"	"LUNG"	"T"	9
"114"	"LUNG"	"T"	9
"115"	"LUNG"	"T"	9
"116"	"LUNG"	"P"	9
"117"	"LUNG"	"P"	9
"118"	"LUNG"	"P"	9
"119"	"LUNG"	"P"	9
"120"	"LUNG"	"P"	9
"121"	"LUNG"	"P"	9
"122"	"LUNG"	"P"	9
"123"	"LUNG"	"P"	9
"124"	"MESO" "T"	10
"125"	"MESO" "T"	10
"126"	"MESO" "T"	10
"127"	"MESO" "T"	10
"128"	"MESO" "T"	10
"129"	"MESO" "T"	10
"130"	"MESO" "T"	10
"131"	"MESO" "T"	10
"132"	NA	NA	NA
"133"	NA	NA	NA
"134"	NA	NA	NA
"135"	NA	NA	NA
"136"	NA	NA	NA
"137"	"BRST"	"N"	11
"138"	"BRST"	"N"	11
"139"	"BRST"	"N"	11
"140"	"BRST"	"T"	11
"141"	"BRST"	"T"	11
"142"	"BRST"	"T"	11
"143"	"BRST"	"T"	11
"144"	"BRST"	"T"	11
"145"	"BRST"	"P"	11
"146"	"BRST"	"P"	11
"147"	"BRST"	"P"	11
"148"	"BRST"	"P"	11
"149"	"BRST"	"P"	11
"150"	"BRST"	"T"	11
"151"	NA	NA	NA
"152"	NA	NA	NA
"153"	NA	NA	NA
"154"	NA	NA	NA
"155"	NA	NA	NA
"156"	NA	NA	NA
"157"	NA	NA	NA
"158"	"BALL"	"T"	12
"159"	"BALL"	"T"	12
"160"	"BALL"	"T"	12
"161"	"BALL"	"T"	12
"162"	"BALL"	"T"	12
"163"	"BALL"	"T"	12
"164"	"BALL"	"T"	12
"165"	"BALL"	"T"	12
"166"	"BALL"	"T"	12
"167"	"BALL"	"T"	12
"168"	"BALL"	"T"	12
"169"	"BALL"	"T"	12
"170"	"BALL"	"T"	12
"171"	"BALL"	"T"	12
"172"	"BALL"	"T"	12
"173"	"BALL"	"T"	12
"174"	"BALL"	"T"	12
"175"	"BALL"	"T"	12
"176"	"BALL"	"T"	12
"177"	"BALL"	"T"	12
"178"	"BALL"	"T"	12
"179"	"BALL"	"T"	12
"180"	"BALL"	"T"	12
"181"	"BALL"	"T"	12
"182"	"BALL"	"T"	12
"183"	"BALL"	"T"	12
"184"	"TALL"	"T"	13
"185"	"TALL"	"T"	13
"186"	"TALL"	"T"	13
"187"	"TALL"	"T"	13
"188"	"TALL"	"T"	13
"189"	"TALL"	"T"	13
"190"	"TALL"	"T"	13
"191"	"TALL"	"T"	13
"192"	"TALL"	"T"	13
"193"	"TALL"	"T"	13
"194"	"TALL"	"T"	13
"195"	"TALL"	"T"	13
"196"	"TALL"	"T"	13
"197"	"TALL"	"T"	13
"198"	"TALL"	"T"	13
"199"	"TALL"	"T"	13
"200"	"TALL"	"T"	13
"201"	"TALL"	"T"	13
"202"	NA	NA	NA
"203"	NA	NA	NA
"204"	NA	NA	NA
"205"	NA	NA	NA
"206"	NA	NA	NA
"207"	NA	NA	NA
"208"	NA	NA	NA
"209"	NA	NA	NA
"210"	NA	NA	NA
"211"	NA	NA	NA
"212"	"FCC"	"T"	14
"213"	"FCC"	"T"	14
"214"	"FCC"	"T"	14
"215"	"FCC"	"T"	14
"216"	"FCC"	"T"	14
"217"	"FCC"	"T"	14
"218"	"FCC"	"T"	14
"219"	"FCC"	"T"	14
"220"	"LBL"	"P"	15
"221"	"LBL"	"T"	15
"222"	"LBL"	"T"	15
"223"	"LBL"	"T"	15
"224"	"LBL"	"T"	15
"225"	"LBL"	"T"	15
"226"	"LBL"	"T"	15
"227"	"LBL"	"T"	15
"228"	"LBL"	"T"	15
"229"	NA	NA	NA
"230"	NA	NA	NA
"231"	NA	NA	NA
"232"	NA	NA	NA
"233"	NA	NA	NA
"234"	NA	NA	NA
"235"	NA	NA	NA
"236"	NA	NA	NA
"237"	NA	NA	NA
"238"	NA	NA	NA
"239"	NA	NA	NA
"240"	NA	NA	NA
"241"	NA	NA	NA
"242"	NA	NA	NA
"243"	NA	NA	NA
"244"	NA	NA	NA
"245"	NA	NA	NA
"246"	NA	NA	NA
"247"	NA	NA	NA
"248"	NA	NA	NA
"249"	NA	NA	NA
"250"	NA	NA	NA
"251"	NA	NA	NA
